,Rank,Throughput,Throughputs,Uncert,Start
0,0,21.75266194510495,"[21.63705996 21.97204606 21.85887908 21.94516452 21.97186503 21.8520724
 21.93758209 21.50925032 21.79777118 21.46469728 21.69556244 21.67998179
 21.81863803 21.81268899 21.99784421 21.52331244 21.55956504 21.93692039
 21.61303482 21.97452054 21.70174211 21.76219363 21.13433246 22.01582387
 21.9283819  22.05533684 21.71446563 21.93421381 21.97355483 21.48395015
 21.8649131  21.50583884 21.48770098 22.05491122 21.94793401 22.03298338
 21.59681447 21.67170082 22.00728441 21.796524   21.70174211 21.50971298
 21.89609209 21.82869928 21.75142472 21.73163066 21.99294576 21.79806815
 21.5875483  21.81923311 21.83453787 21.91930954 21.38237024 21.75467794
 21.98943957 21.78322964 22.09139209 21.25099282 21.91810847 21.57095902
 21.75816883 21.84688068 22.02170239 21.67745572 21.96070681 21.52672947
 21.93481521 21.98164533 21.51833362 21.61104973 21.71375838 21.78791642
 21.13316004 22.01564211 21.75556535 21.4897212  21.71817947 21.4001589
 21.98672002 21.7134637  21.1526614  21.87023297 21.95136675 21.6637195
 21.43565285 22.00601314 21.81798347 21.54284468 21.70609941 22.08096538
 21.91204505 21.53449422 21.87394048 21.76278564 21.57002845 21.45232221
 21.77415843 21.79070572 21.37340134 22.10182865]",0.221446266023674,2023-09-14 14:51:46.861597
1,1,21.739513902021322,"[20.88325737 21.83382277 21.83960448 21.78139107 21.93120729 21.87053192
 21.88531003 21.82357819 21.54446913 21.55753166 21.61005732 21.676281
 21.79123992 21.83316731 21.95709036 21.6434991  21.48060436 21.86323997
 21.86527166 21.69726886 21.74338458 21.8070404  21.67340348 21.50716861
 21.82536435 22.00286587 21.87477783 21.88034188 21.93631887 21.69085649
 21.89806996 21.36632294 21.9074247  21.58166637 21.9555236  22.00080853
 21.81631751 21.79319889 21.6308001  21.81435439 21.70280183 21.71187259
 21.70757187 21.77368433 21.91522643 21.68579987 21.98496778 21.8239354
 21.77522524 21.53258149 21.8978302  21.92615818 21.84562787 21.29080849
 21.97120125 21.93180852 21.85559462 21.67751446 21.54638398 21.71275652
 21.56235429 21.86515214 22.07578617 21.70333173 21.8978302  21.69856356
 21.82411401 21.89651161 21.77581795 21.4588821  21.65328223 21.79337699
 21.71199045 21.39203307 21.83304814 21.86580953 21.57031924 21.65093816
 21.38562832 21.76337768 21.8139975  21.40525499 21.67164211 21.82578116
 21.81239162 21.57311127 21.81619853 21.50971298 21.91762807 21.83650463
 21.91414586 21.76331847 21.81697197 21.59973    21.87932459 21.57392575
 21.6034047  21.56531865 21.95443905 21.37665669]",0.18582070815441573,2023-09-14 14:51:46.861678
2,2,21.73979382244901,"[20.91700134 21.7954551  21.83418032 21.82101855 21.92327402 21.87651256
 21.85714715 21.8183405  21.57922137 21.51856514 21.62115414 21.6682963
 21.80971568 21.84389804 21.94323833 21.6251284  21.47368534 21.87220617
 21.84228776 21.72189458 21.74084371 21.79503945 21.7080431  21.46573398
 21.86574976 22.01612681 21.84926737 21.89447411 21.91744793 21.72195356
 21.86419601 21.36466818 21.91012467 21.57840649 21.94552572 21.99361086
 21.83489544 21.82280428 21.60066314 21.84956574 21.65363389 21.74113913
 21.6772795  21.7674044  21.94263646 21.6909153  21.97548634 21.82607889
 21.74628071 21.58056023 21.91174497 21.87758942 21.893815   21.25392866
 21.96299784 21.90820462 21.88998096 21.70786639 21.53281332 21.69103293
 21.5993801  21.86318022 22.05077743 21.70816091 21.88848365 21.70786639
 21.79967191 21.94974058 21.77872273 21.38168445 21.70021158 21.78210274
 21.75225272 21.34819167 21.86132813 21.84264558 21.60830623 21.61268448
 21.40720245 21.7764107  21.76787823 21.41144227 21.68239092 21.81590106
 21.85356473 21.53159627 21.83805445 21.53234966 21.91216509 21.7994343
 21.94853617 21.73611809 21.77996787 21.63741108 21.86049181 21.6239009
 21.56508613 21.55433714 22.00474202 21.37225934]",0.1873431338228981,2023-09-14 14:51:46.861618
3,3,21.739741078170177,"[20.96381122 21.80210772 21.77374359 21.87250517 21.92820159 21.8197092
 21.84306305 21.84073734 21.56688836 21.57933778 21.59798059 21.67622227
 21.83346524 21.83871021 21.89579245 21.66823761 21.42606534 21.91888915
 21.86323997 21.70303734 21.67305119 21.87130922 21.6408059  21.53356679
 21.80775375 22.00413678 21.84467345 21.96758134 21.90586502 21.72171764
 21.86085022 21.36883409 21.84926737 21.63507045 21.95907926 21.92994479
 21.88554952 21.76047699 21.60416312 21.91366564 21.60655543 21.77658853
 21.64314778 21.83137988 21.91756803 21.68850428 21.97705595 21.82500709
 21.77498816 21.57247137 21.83471665 21.88902266 21.8882441  21.2780671
 21.93986831 21.99361086 21.88315489 21.63232085 21.53611741 21.74025289
 21.54272866 21.92099127 22.04700974 21.64953196 21.95546334 21.69526826
 21.81929262 21.88710631 21.82613844 21.35628422 21.72449002 21.73552753
 21.79670216 21.35400401 21.86897749 21.83799484 21.60725572 21.61981023
 21.34317965 21.84037959 21.71935874 21.4531276  21.68397771 21.76308165
 21.90598499 21.53246557 21.79147735 21.52759838 21.95998342 21.74687185
 22.00504466 21.67951178 21.80989406 21.60929848 21.92736014 21.61788231
 21.50630135 21.5703774  22.03899249 21.31963192]",0.19161425744855712,2023-09-14 14:51:46.861647
4,4,21.739745014993627,"[20.91459525 21.79658339 21.84091623 21.77368433 21.97071852 21.87776891
 21.80614879 21.86724396 21.57392575 21.48556573 21.64830169 21.63729404
 21.87280418 21.78702637 21.99457834 21.62068667 21.47529938 21.85768462
 21.86855903 21.69120937 21.74900023 21.76722672 21.69320921 21.51792847
 21.86557047 22.00310794 21.80626767 21.91420588 21.89962853 21.76290404
 21.8205424  21.37088911 21.9029862  21.62623912 21.95642747 21.95208956
 21.81114277 21.86987425 21.60457153 21.84974477 21.66090396 21.72395908
 21.69979955 21.77534378 21.87513672 21.69456226 21.97639186 21.81804298
 21.8184     21.52858323 21.89567259 21.87848688 21.89333567 21.3245192
 21.89249689 21.97759933 21.88644764 21.63869865 21.59180159 21.68080436
 21.55334993 21.90958462 21.99451787 21.71098875 21.89806996 21.73788996
 21.77249916 21.98122254 21.74131638 21.41419333 21.66295689 21.82917578
 21.70091795 21.39872785 21.82185186 21.8342995  21.6067305  21.62068667
 21.40033064 21.82732945 21.78162829 21.35366202 21.71629292 21.77984928
 21.89711095 21.49000983 21.85105773 21.51885455 21.91264524 21.80305842
 21.94534512 21.738776   21.80882385 21.64361622 21.87453858 21.61449468
 21.56369106 21.56659765 21.94251609 21.42015637]",0.18430683157104022,2023-09-14 14:51:46.861614
5,5,21.740338071748866,"[20.90759887 21.86443504 21.82828236 21.81988774 21.92693944 21.83352483
 21.89699108 21.75645283 21.63395883 21.52956817 21.55172414 21.73039104
 21.83614701 21.76491713 21.95642747 21.67011583 21.47956622 21.80103827
 21.92850212 21.63811337 21.74563049 21.80448464 21.7652132  21.46596437
 21.80638655 22.00244227 21.91324546 21.90622493 21.84288413 21.72419505
 21.86569    21.41923876 21.84634374 21.63951809 21.95709036 21.93607827
 21.87735011 21.8272699  21.53808876 21.9122251  21.60941522 21.71900494
 21.75929326 21.77439549 21.91918943 21.63360781 21.97452054 21.87998282
 21.77386211 21.5204175  21.94624815 21.82566207 21.95251123 21.27919905
 21.94323833 21.9290431  21.88860343 21.68715199 21.53182808 21.63501194
 21.5913354  21.86640719 22.10952506 21.68597622 21.9146261  21.6967981
 21.76118729 21.99421552 21.77279544 21.3685487  21.72065607 21.73316563
 21.73901229 21.41264577 21.80912112 21.88968148 21.55236281 21.67287504
 21.34357825 21.84151252 21.77439549 21.34853349 21.67639847 21.87920491
 21.79753361 21.59355001 21.84664203 21.51341496 21.91300537 21.74799511
 21.94365965 21.79118056 21.79985013 21.55782212 21.88147897 21.60521334
 21.62395935 21.51208441 22.04749582 21.37203096]",0.19290728301747959,2023-09-14 14:51:46.861676
6,6,21.739916388863755,"[20.93851666 21.75148386 21.81346218 21.85135615 21.90034794 21.89405467
 21.81191585 21.87220617 21.54006047 21.51503498 21.60760588 21.69226806
 21.86736351 21.83090328 21.90976463 21.62770076 21.46032121 21.89567259
 21.89495349 21.63284732 21.78684837 21.83584901 21.67710329 21.4214182
 21.90406567 22.00516571 21.86222426 21.91894921 21.837816   21.79325826
 21.77249916 21.4323795  21.90724473 21.52945229 22.01000905 22.02085375
 21.83328648 21.80198889 21.59768905 21.8318565  21.63893277 21.77285469
 21.6865053  21.74775862 21.94522472 21.72696806 21.92471601 21.77949352
 21.82840148 21.55195638 21.90640489 21.89681128 21.86891771 21.29925453
 21.95419805 21.90352592 21.85774434 21.76201603 21.52169117 21.67522386
 21.6164804  21.83918715 22.01340066 21.72797123 21.91930954 21.7026252
 21.80918057 21.92267325 21.7923084  21.42216391 21.49653503 21.95028261
 21.72277932 21.34448939 21.89735069 21.83447828 21.58382077 21.64853602
 21.35360502 21.81506821 21.77060315 21.42893496 21.66770943 21.81518719
 21.87920491 21.47731727 21.89962853 21.4834309  21.92267325 21.79403007
 21.96155081 21.7307452  21.81709096 21.61461148 21.83942562 21.66260493
 21.55364028 21.57334398 21.98653874 21.36472524]",0.19107213132591885,2023-09-14 14:51:46.861689
7,7,21.739847013352332,"[20.9369823  21.7604178  21.80371208 21.85093836 21.86909705 21.87890573
 21.82197091 21.8601334  21.58690754 21.52887291 21.60941522 21.67592861
 21.83006928 21.88399295 21.88776501 21.63723552 21.45669503 21.90172695
 21.88764525 21.63167743 21.79224904 21.77498816 21.68150947 21.47316659
 21.90304617 21.98980223 21.82905666 21.9671591  21.80811044 21.83120115
 21.7610689  21.38465651 21.89884922 21.59623146 22.01988396 21.95070421
 21.83763717 21.85338564 21.54325077 21.84169142 21.6243685  21.7817469
 21.69285627 21.81286741 21.92621828 21.73688587 21.87328261 21.82161376
 21.77060315 21.61531229 21.91582679 21.82995015 21.91991013 21.25827744
 21.99234117 21.90676481 21.85410201 21.70498048 21.51179519 21.71010497
 21.64759874 21.83769678 21.98297419 21.77368433 21.84998348 21.71240294
 21.82506663 21.89261672 21.80442521 21.46913275 21.53287127 21.92405507
 21.67927678 21.32992055 21.95365583 21.83275022 21.54777681 21.68368384
 21.32901065 21.84020071 21.76947756 21.43381506 21.66665313 21.82018531
 21.81851901 21.46095448 21.96384203 21.49780588 21.92808138 21.71947667
 21.96335963 21.79284269 21.75450046 21.67816061 21.84765629 21.59809721
 21.60585519 21.51567148 21.98412197 21.41929611]",0.18845808221856297,2023-09-14 14:51:46.861627
8,8,21.740046473168242,"[20.89454783 21.80490065 21.81054813 21.85481844 21.92165202 21.8771108
 21.80305842 21.82613844 21.54342481 21.56886534 21.60959034 21.6244854
 21.8766322  21.84753696 21.92922343 21.58620857 21.50925032 21.85404231
 21.94233554 21.5743912  21.84348054 21.8337036  21.68344875 21.36695067
 21.90046785 22.06598281 21.85326624 21.92087114 21.84950606 21.74628071
 21.80751596 21.39638134 21.94095141 21.54104646 22.0161874  22.00371313
 21.78821312 21.848969   21.55683459 21.88620813 21.58283086 21.77409916
 21.70227196 21.79949371 21.92381474 21.73842157 21.92273333 21.76841131
 21.77990858 21.61426109 21.8624035  21.87830738 21.92195237 21.26681075
 21.98575323 21.90838461 21.850819   21.7125208  21.55747357 21.69144462
 21.61280126 21.83990259 22.03613927 21.71134228 21.90700476 21.67440172
 21.78684837 21.98388032 21.7456896  21.4636031  21.48256556 21.97898809
 21.67904179 21.32980681 21.90160703 21.88291546 21.59337515 21.63255483
 21.38951646 21.73021396 21.77054391 21.47927787 21.67839558 21.76248963
 21.87693132 21.51567148 21.90718474 21.49197275 21.92309379 21.78115386
 21.91204505 21.72502098 21.82185186 21.66958755 21.8499238  21.59337515
 21.61280126 21.56496986 21.94185409 21.41344818]",0.19379924911179783,2023-09-14 14:51:46.861636
9,9,21.73998516574838,"[20.9390647  21.74976891 21.73871693 21.8324523  21.98188693 21.9029862
 21.80805099 21.87346202 21.51630802 21.54673217 21.62547914 21.66700521
 21.86646695 21.85505726 21.86419601 21.65509923 21.45796117 21.90094749
 21.88716619 21.61846649 21.79456444 21.83924676 21.67592861 21.42979599
 21.89561267 22.01376411 21.83650463 21.92045068 21.8692764  21.7904683
 21.76598303 21.42887756 21.89956858 21.51850726 21.97047717 22.07858874
 21.79551448 21.837816   21.60719736 21.83739873 21.63167743 21.76177924
 21.70698287 21.7474039  21.93343203 21.74249816 21.92465592 21.76811515
 21.74834984 21.61198385 21.93974797 21.88357392 21.85858045 21.31491724
 21.94257628 21.87423953 21.87429934 21.76894442 21.52035961 21.68415403
 21.61186708 21.83275022 22.03541091 21.71688243 21.84938672 21.77807057
 21.80466293 21.89872933 21.80139474 21.43909956 21.54133648 21.90718474
 21.73623621 21.24094936 21.9750638  21.78572109 21.67774942 21.61320999
 21.3876294  21.78518716 21.76562772 21.43697396 21.66354351 21.80906167
 21.88351405 21.46158778 21.88962158 21.50930815 21.92393491 21.79207095
 21.9581149  21.72985982 21.82185186 21.62442695 21.85165458 21.64185969
 21.52974199 21.59261748 21.98545113 21.37808479]",0.19045104339254962,2023-09-14 14:51:46.861663
