,Rank,Throughput,Throughputs,Uncert,Start
0,0,23.523653364428974,"[23.62676795 23.18733044 24.17495414 23.91901023 23.05880861 23.71923541
 23.41139081 21.99645307 23.80583957 23.50528428 23.41776413 23.64324705
 23.21592845 23.84209381 23.79797896 23.09862246 24.5584845  23.14761232
 24.27177102 23.13188354 24.21278193 23.33729095 23.12740308 23.92416041
 23.63563308 20.57464997 23.32674353 23.12365955 23.88016931 23.40310384
 23.72465169 23.64443499 23.65149522 23.21195416 24.1175247  23.45862192
 23.20003944 23.67991854 23.0868904  23.65023665 24.04503635 23.25229907
 22.93762114 23.58907826 23.77478149 23.25750418 23.35336858 23.91443415
 23.43306053 23.89457713 23.57962249 23.7991825  22.82212719 23.94937103
 23.79316601 23.40221385 23.7339425  23.50148647 23.66681853 23.70103514
 23.71782899 22.82368985 23.41193892 24.29329293 23.42222066 23.23656273
 24.08224085 23.30493045 23.57482798 23.40063942 23.82370459 23.35200521
 23.69562964 23.12419427 24.20970446 23.18376904 23.86841344 23.14915289
 23.34307907 24.24506916 23.53079593 23.39201806 24.10843976 23.1100994
 23.97635931 22.90196527 23.55136995 23.80321879 23.24601549 23.58650498
 23.73422416 23.6844053  23.01356938 24.06065692 23.07031255 24.12217884
 23.12031814 23.61045117 23.49423951 24.08274832]",0.4987302091663258,2023-09-14 14:53:10.679672
1,1,23.512465158636413,"[23.33912922 23.74831535 23.4105687  23.80243975 23.30391214 23.53058829
 23.4770717  21.97126159 23.70728614 23.60090863 23.53751144 23.62669817
 23.40255614 23.71051828 23.58970427 23.78361666 23.73936551 23.81037418
 23.85517523 23.61944353 23.53674969 23.34982415 23.65233434 23.56586955
 23.3492108  20.57994279 23.38101111 23.30051844 23.63381763 23.54721069
 23.6945769  23.66233843 23.64855877 23.70019256 23.42119208 23.66646846
 23.37868799 23.51703074 23.31851636 23.48361871 23.67865695 23.32137141
 23.38470173 23.56843833 23.333275   23.3976965  23.55539198 23.70574064
 23.58455801 23.72148603 23.62111728 23.74218363 23.61421458 23.54672553
 23.35391397 23.55747287 23.64122083 23.75981206 23.47782959 23.66499828
 23.68496626 23.42407233 23.43072706 23.78453589 23.4570399  23.68531688
 23.74443861 23.24007286 23.81328007 23.51219254 23.43443338 23.31280835
 23.51564819 23.78149562 23.55553069 23.69282256 23.27367515 23.77668933
 23.60891827 23.55747287 23.55026067 23.52871974 23.77195563 23.2699518
 23.86278896 23.0448597  23.569341   23.62007116 23.20582698 23.73704106
 23.68671945 23.60049089 23.34805233 23.70538942 23.68735066 23.60634066
 23.57121601 23.44294865 23.22705022 23.73908373]",0.3742466372394279,2023-09-14 14:53:10.679851
2,2,23.511682893446455,"[23.27658695 23.81384716 23.35180072 23.77513478 23.3815578  23.48313617
 23.46584693 22.02030823 23.72148603 23.59520074 23.47989681 23.57170217
 23.46405746 23.66688854 23.66450827 23.74288826 23.839394   23.70602163
 23.85830552 23.61177519 23.61066021 23.28010918 23.65009682 23.58880004
 23.39475431 20.57279813 23.34076348 23.35855084 23.621745   23.42976635
 23.7677887  23.654922   23.69408566 23.70068406 23.42215209 23.60898794
 23.4520201  23.45628335 23.31321597 23.54152873 23.65925935 23.29542973
 23.44384174 23.50065802 23.37233592 23.40324076 23.51005055 23.71332956
 23.63151381 23.67291138 23.68230192 23.67172058 23.54166728 23.63444602
 23.40440471 23.48099947 23.64583272 23.74140858 23.48658329 23.6803391
 23.74183133 23.36264372 23.40241923 23.82242762 23.45807163 23.68889376
 23.7257071  23.29970409 23.75134715 23.52187093 23.41563931 23.39017145
 23.52249338 23.70489773 23.57455009 23.68398459 23.30988747 23.74746941
 23.61059053 23.60954534 23.49907032 23.5242226  23.7677887  23.30296181
 23.82931065 23.09735535 23.55338079 23.64122083 23.13201731 23.81625757
 23.68980568 23.53716518 23.39913365 23.67242104 23.70321208 23.57427222
 23.61086926 23.3853853  23.27882209 23.68714025]",0.37087870401058487,2023-09-14 14:53:10.679847
3,3,23.5112818269534,"[23.30031485 23.79684632 23.3026903  23.85496183 23.29583674 23.54021257
 23.43010945 22.03522882 23.68882361 23.64667144 23.48823826 23.6187462
 23.40858217 23.66128865 23.63870602 23.78340453 23.77690133 23.72014967
 23.8617925  23.62251225 23.58407132 23.29448008 23.76101174 23.51744554
 23.40282999 20.57369756 23.32551928 23.32259522 23.67214085 23.48961759
 23.64911804 23.70770767 23.68454554 23.72106401 23.37889295 23.59680145
 23.43814089 23.4641951  23.37595549 23.46350691 23.67795612 23.37178967
 23.34825676 23.51557907 23.43848423 23.3349765  23.50790894 23.70623237
 23.69562964 23.67851678 23.65128545 23.68882361 23.61728195 23.60919696
 23.31545815 23.49341157 23.68314323 23.76623531 23.53432629 23.622303
 23.67823644 23.46915127 23.37254077 23.73753409 23.52200925 23.6675187
 23.69254188 23.35568667 23.73809757 23.48155084 23.4227007  23.36421303
 23.5488049  23.70075428 23.65205462 23.58080405 23.40515791 23.70623237
 23.60647998 23.61393576 23.50514616 23.51212344 23.77965769 23.27252417
 23.7988993  23.1657772  23.55296473 23.63598224 23.14225544 23.7475399
 23.7450729  23.53342629 23.39612268 23.62000142 23.74641207 23.58740904
 23.61393576 23.34335152 23.28431016 23.67711518]",0.3689700626909751,2023-09-14 14:53:10.679858
4,4,23.51148713056926,"[23.24844744 23.81469784 23.35132358 23.8073273  23.36434951 23.53834249
 23.42489539 22.02685624 23.70075428 23.59638385 23.48775554 23.62076856
 23.46323165 23.66177854 23.62265176 23.73049279 23.84166749 23.71635242
 23.85745173 23.62990838 23.56739686 23.27679013 23.71571967 23.52360005
 23.41125379 20.59822392 23.34198932 23.30649202 23.62858231 23.49127299
 23.69226122 23.68293289 23.69282256 23.71030746 23.40680143 23.62655861
 23.43759155 23.45394525 23.30051844 23.55601621 23.65590126 23.32871619
 23.41735284 23.50217689 23.37213107 23.4046786  23.50459368 23.70728614
 23.64667144 23.66548832 23.66023897 23.68349379 23.6208383  23.60968469
 23.36298485 23.4992774  23.62907085 23.73549168 23.54922082 23.67473285
 23.70089471 23.39160768 23.39803866 23.78439446 23.45759014 23.67984845
 23.75847138 23.27238877 23.7648939  23.51765294 23.43161921 23.3416488
 23.54727999 23.71459485 23.60947566 23.6286521  23.35432303 23.71494634
 23.60160491 23.60954534 23.48844515 23.57399435 23.73352004 23.32946453
 23.80371457 23.10823029 23.5550452  23.62523293 23.20219261 23.74704646
 23.66534831 23.5571954  23.40447318 23.66744868 23.72387779 23.55109262
 23.61804891 23.3933861  23.27211797 23.69282256]",0.3667774850858368,2023-09-14 14:53:10.679846
5,5,23.511434988326723,"[23.28586897 23.79196307 23.35493665 23.78948683 23.36510013 23.53820398
 23.4287371  22.02261172 23.68167098 23.61602702 23.45800284 23.65841974
 23.43862157 23.67340175 23.64212909 23.73295677 23.8051312  23.74070403
 23.84799289 23.62495386 23.57434169 23.30927622 23.71037774 23.517169
 23.39578057 20.57607877 23.36748881 23.30771427 23.64653164 23.49768988
 23.70082449 23.654922   23.67024975 23.73232313 23.38675257 23.65296372
 23.42372941 23.44555941 23.34212553 23.52602125 23.68075968 23.30296181
 23.42098637 23.49651664 23.3522097  23.43745422 23.49058321 23.71874314
 23.61895539 23.68980568 23.67676481 23.68230192 23.58073454 23.63472532
 23.35227787 23.50735633 23.58796542 23.81065765 23.53391089 23.65806992
 23.67228094 23.43978904 23.35718686 23.76397619 23.47989681 23.71234554
 23.70314185 23.33273057 23.71839154 23.55102329 23.3970122  23.38709442
 23.54062818 23.70307162 23.59012164 23.66324831 23.34852933 23.66310833
 23.64268806 23.58052602 23.53474169 23.57385542 23.71192384 23.32014773
 23.81852665 23.10716235 23.51689248 23.65261406 23.21828672 23.73971773
 23.65834977 23.53453399 23.43656162 23.63605207 23.70208845 23.61435399
 23.60675861 23.40070787 23.28146417 23.6633883 ]",0.3667096189422811,2023-09-14 14:53:10.679948
6,6,23.511687280064486,"[23.28553008 23.73035201 23.44741478 23.77739602 23.34955154 23.51170883
 23.42235781 21.97699558 23.74894985 23.62893126 23.45208885 23.64394582
 23.45862192 23.61407517 23.69148942 23.69759499 23.84102803 23.73000006
 23.81356361 23.63598224 23.59561829 23.28851265 23.73175992 23.52159429
 23.35759604 20.61170384 23.39181287 23.27035793 23.59158252 23.49782792
 23.69766519 23.69141926 23.66982955 23.70293116 23.40057097 23.63360817
 23.40741781 23.46109857 23.33395557 23.56628607 23.66163857 23.27171178
 23.47204333 23.47534942 23.40426777 23.34900635 23.52740502 23.70939396
 23.6488384  23.73112634 23.60501725 23.70096493 23.5937394  23.60891827
 23.37124344 23.47886315 23.62509339 23.76814178 23.53889656 23.66513829
 23.73844976 23.40632205 23.3890773  23.73866108 23.4948605  23.65590126
 23.80258139 23.27299809 23.78623312 23.52242422 23.41618761 23.38189949
 23.49085912 23.74140858 23.56399539 23.72774782 23.32674353 23.69991172
 23.64143042 23.56718858 23.50493898 23.58323704 23.70721588 23.32667551
 23.78587951 23.09775548 23.57003541 23.63367799 23.19344785 23.74140858
 23.68188129 23.52249338 23.44535328 23.63849647 23.74366341 23.54748792
 23.62202399 23.41248705 23.27726422 23.68089987]",0.3677355520963186,2023-09-14 14:53:10.679994
7,7,23.511802959241226,"[23.28980081 23.75811859 23.43539448 23.77350977 23.34859748 23.50245307
 23.42318075 22.02879715 23.69949046 23.62041985 23.45160761 23.65170499
 23.45147011 23.61059053 23.68868332 23.70616212 23.83989129 23.73183032
 23.80739815 23.64275793 23.60348505 23.29176723 23.71895411 23.52671311
 23.37807312 20.58809905 23.39434383 23.28119316 23.58400179 23.50666561
 23.69050721 23.68854304 23.60815189 23.75607265 23.40940414 23.62774488
 23.41008916 23.46261233 23.34158069 23.5596929  23.65841974 23.3011971
 23.44377304 23.48134407 23.39550689 23.3483249  23.54658692 23.69233138
 23.65429251 23.72690334 23.61316906 23.68707012 23.59777591 23.61498134
 23.37301877 23.45951621 23.64303742 23.74937287 23.52290837 23.70208845
 23.73091515 23.4105687  23.38271959 23.75811859 23.47610719 23.68714025
 23.76764748 23.29746494 23.76559989 23.52145598 23.4154337  23.34634892
 23.53439552 23.73844976 23.58747859 23.70363347 23.32579133 23.69331375
 23.64688112 23.56836889 23.49693071 23.59478319 23.69548927 23.33130157
 23.78991129 23.09515493 23.57364702 23.62418644 23.20818321 23.7526165
 23.65834977 23.54942878 23.40947264 23.66877911 23.72767745 23.54097454
 23.62286102 23.42208351 23.28031242 23.67914755]",0.3665333313173957,2023-09-14 14:53:10.679980
8,8,23.51174529321906,"[23.26893655 23.77979906 23.38921406 23.80102344 23.35507301 23.50093416
 23.38477008 22.06403535 23.65786003 23.66030894 23.45078267 23.65841974
 23.450164   23.61491164 23.68840275 23.65730035 23.88237928 23.73837932
 23.80938209 23.59805434 23.64380606 23.28539453 23.71775867 23.53529559
 23.36489541 20.57142269 23.39194966 23.31138178 23.59005208 23.46508981
 23.7056704  23.71171299 23.66842898 23.70272048 23.39933897 23.59179124
 23.45312014 23.46254352 23.29624377 23.59937698 23.63039696 23.29305576
 23.44418526 23.46791203 23.41289817 23.3436921  23.58073454 23.70552991
 23.61219334 23.71586028 23.61602702 23.74267687 23.55143929 23.64730051
 23.33143765 23.51509522 23.63702977 23.72493313 23.56462008 23.63737897
 23.75677811 23.4105687  23.42441527 23.70180756 23.49037629 23.72387779
 23.75988263 23.30092563 23.71663366 23.53723443 23.42407233 23.40502096
 23.49699973 23.73422416 23.56441185 23.70103514 23.35670951 23.65317352
 23.64506395 23.59074771 23.52664392 23.54402291 23.701948   23.36475893
 23.7475399  23.14413007 23.56517538 23.59415691 23.19438928 23.79465215
 23.64275793 23.56246852 23.42023215 23.61282058 23.73894285 23.5827504
 23.62028037 23.38244621 23.31600177 23.67193071]",0.36542674381733914,2023-09-14 14:53:10.679965
9,9,23.511329392760075,"[23.29305576 23.73218232 23.44933917 23.74084494 23.35405032 23.50196976
 23.42167207 22.05959399 23.66065883 23.62300053 23.45298263 23.69085799
 23.41776413 23.64541338 23.68812218 23.66401827 23.83676583 23.74140858
 23.8499836  23.59179124 23.64918795 23.24270615 23.75981206 23.52927336
 23.37684348 20.56544696 23.39160768 23.27475852 23.59464402 23.53965844
 23.67788604 23.65667074 23.67676481 23.70138623 23.43972036 23.63360817
 23.41070572 23.42105494 23.33960585 23.55206331 23.66772876 23.31158557
 23.47107923 23.43065843 23.44906424 23.3560958  23.49789694 23.69717382
 23.64087152 23.77414562 23.56996597 23.69829698 23.58963471 23.65065616
 23.37021933 23.43937698 23.67340175 23.77146117 23.53730368 23.65918938
 23.69598057 23.40947264 23.38579547 23.73788626 23.49520551 23.73725235
 23.75628428 23.24709629 23.77760803 23.52290837 23.41632469 23.40495249
 23.50666561 23.70033299 23.60063014 23.73492832 23.28573341 23.69942025
 23.63870602 23.58351512 23.53301093 23.58031751 23.69366461 23.3293965
 23.7867282  23.10122379 23.541598   23.65590126 23.20320204 23.71459485
 23.65988909 23.56121941 23.44377304 23.6167939  23.76687076 23.51060328
 23.61526018 23.41954654 23.28525898 23.67270123]",0.367724269243666,2023-09-14 14:53:10.679942
