,Rank,Throughput,Throughputs,Uncert,Start
0,0,18.313250850887716,"[18.45499404 18.05864998 18.55993467 18.42358587 18.01473155 18.46219174
 18.11052856 18.27518778 18.30839577 18.46977882 18.8027358  18.48680851
 18.73255531 18.38687361 18.00451463 18.51072002 18.44899315 18.33382224
 17.80868574 18.62834815 18.13339378 18.2166368  18.01424476 17.97655857
 18.35877171 18.09451216 18.30969475 18.38784563 18.06378775 18.47839644
 18.67295945 18.33071357 18.03503757 18.6075072  18.37184148 18.35392797
 18.32273668 18.27710838 18.0349156  18.46594188 18.36231136 18.3968523
 18.32831977 18.37745454 17.99305468 18.2096707  18.4100611  17.94913216
 18.33272988 18.20486388 18.11323489 18.62058692 18.45427032 18.11836273
 18.21078989 18.44537747 18.09099317 18.2969643  18.37851001 18.5487461
 18.57225769 18.09537166 18.47677469 17.43580355 19.48605529 18.34302839
 18.33159565 18.40751947 18.16645927 18.3077254  18.30705508 17.77059056
 18.73185352 18.473788   18.42197373 18.44792957 18.08203821 18.47549457
 18.28454407 18.39042411 18.02853466 17.98148806 18.50939236 18.37002746
 17.91380326 18.53628246 18.21597313 18.37011183 18.54079322 18.45989127
 17.44481442 18.60075798 18.32550681 17.54224392 19.39445658 18.16130416
 18.24979868 18.40485152 18.00062552 18.63529105]",0.29985585954769817,2023-09-14 14:54:38.253543
1,1,18.312913490586705,"[18.35607575 18.23781657 18.30667805 18.32151977 18.06329831 18.56747304
 18.03877886 17.36766922 19.38097176 18.40637597 18.86214132 18.50429762
 18.70286294 18.20805433 18.24534516 18.4963828  18.53782876 18.15405074
 17.84622798 18.62899883 18.00674353 18.22298556 18.1546687  18.11331691
 18.1893006  18.19956276 18.08465427 18.51804699 18.03503757 18.44707879
 18.58701511 18.50331325 18.14334604 18.58831074 18.36918386 18.11138957
 18.43313725 18.13154435 18.2028756  17.31564252 19.58437069 18.50498247
 18.14787341 18.45175903 18.296504   18.01882968 18.29968479 17.93307824
 18.38725396 18.38328224 18.064318   18.44865279 18.52006186 18.22506128
 18.20030804 18.29876392 18.08424546 18.35637058 18.28675924 18.56842115
 18.59522382 18.32034497 18.43755546 18.32487717 18.37281191 18.29094027
 18.2028756  18.63025693 18.13618918 18.10729022 18.386282   17.95602122
 18.43063171 18.7224283  18.32168761 18.40951035 18.14157687 18.34980228
 18.37327607 17.3848795  19.22568552 18.12928446 18.1881427  18.44057295
 17.88588803 18.51976174 18.22834188 18.3399166  18.47366002 18.5105487
 17.67584706 17.32115368 19.48520099 18.6156907  18.22348369 18.2168442
 18.31753446 18.33365417 18.26613299 18.34896053]",0.3559193981202508,2023-09-14 14:54:38.253077
2,2,18.315656610555287,"[18.38015678 18.28604866 18.28462766 18.37715903 18.14429249 18.51273329
 18.02341692 18.40294631 18.10433984 17.70068148 19.73719919 18.51333307
 18.77876966 18.190955   18.29863835 18.50194386 18.50164433 18.11372704
 17.11702267 19.5471416  18.00682459 18.20925622 18.10614274 18.1800415
 18.09316169 18.28659204 18.13470915 18.37927002 18.17450707 18.41379009
 18.62054358 18.42252522 18.05701955 18.59289008 18.50875001 18.17847169
 18.34744558 18.18971417 18.11823963 18.44890806 18.39803693 18.32559077
 18.31438939 18.3010244  18.3535069  17.93565137 18.40332732 17.93754148
 18.30274106 18.30173615 18.24126813 18.46368309 18.48642403 18.31183219
 18.13594249 18.21012665 18.04166723 17.60947037 18.39680999 19.36563036
 17.68890088 19.29193766 17.48186803 19.30283004 18.45512176 18.29788499
 18.22614084 18.62717705 17.8725819  18.44155066 18.39812155 17.94607205
 17.5761597  19.57943376 18.23245468 18.67941225 18.06803065 18.34466881
 18.30048016 18.45891162 18.17520901 17.97874014 18.28972757 18.34084162
 17.96218959 18.54169564 18.25646222 18.26988734 17.66257852 19.42851037
 17.63575119 18.32622047 18.46722068 18.50395522 18.16897602 18.1506321
 18.55253149 18.21273844 18.37028056 18.17979361]",0.4147134412460413,2023-09-14 14:54:38.253203
3,3,18.310342272419504,"[18.37538617 18.32915963 18.18045465 18.48304989 18.13993143 18.44869533
 18.04785388 18.36054136 18.23332733 18.61352505 18.67967395 18.47656133
 18.73918105 18.27326758 18.23644462 18.47925011 18.53933235 18.06537861
 17.95444956 18.55894437 18.02772213 18.22767736 18.01550234 18.18855622
 18.14170029 18.31015573 18.15569873 18.40722299 18.13101015 18.40527495
 18.62327444 18.37842557 18.17896739 18.57122296 17.46896529 19.22600894
 18.390255   18.16852213 18.07419457 18.4496739  18.43487879 18.36543075
 18.27393543 18.41438347 18.24859144 17.99086963 18.2943283  18.06509305
 18.2979687  18.33222576 18.22834188 18.37272752 18.44257099 18.16612925
 18.30098253 18.23656934 18.12037364 18.27652381 18.47942085 18.41158641
 18.57588015 18.42167679 18.32630443 18.34336486 18.40870548 18.27811059
 18.34959184 18.49296227 18.03910427 18.21277991 18.47779892 17.98488371
 18.40705358 18.62193058 18.30173615 18.48330611 18.16447936 18.37749676
 18.29278053 17.42463844 19.2687509  18.05098953 18.25354632 18.32546484
 17.90899099 18.58796522 18.20556817 18.3286977  18.56191559 18.43148097
 17.65727667 18.40747712 18.33924392 18.46385354 18.29545792 18.16518053
 18.49150893 18.24409689 18.28383366 18.27097222]",0.25573508562202557,2023-09-14 14:54:38.253080
4,4,18.30978631522763,"[18.39376451 18.32873969 18.17545677 18.42876361 18.07178565 18.45120579
 18.16976007 18.3137605  18.26613299 18.4080701  18.85280671 18.57678598
 18.71274993 18.15330923 18.33533494 18.40320032 18.50660917 18.11188162
 18.04948266 18.51260477 17.95428838 18.25358797 18.14244084 18.1476264
 18.14807925 18.21369214 18.21750794 18.39422973 18.06627613 18.45358922
 18.58131649 18.35881384 18.28525454 18.52542267 18.40336966 18.21530951
 18.32601056 18.21257259 18.01878909 18.63260006 18.33079757 18.34715103
 18.22298556 18.43334962 18.22061982 18.0518449  18.26538231 18.01972259
 18.33571316 18.38438063 18.27560527 18.26125464 18.50267132 18.26717571
 18.14013709 18.22825881 18.22726206 18.30755782 18.3707024  18.45384463
 18.59448906 18.36307003 18.43453895 18.21987287 18.41518885 18.30810248
 18.3368479  18.48522799 17.14155928 18.12488955 19.70904522 17.8823298
 18.47408663 18.62813127 18.27786003 18.54109402 18.170668   18.3012756
 18.22555952 18.50374123 18.02447273 18.13857417 18.37525955 18.23054345
 17.94852811 18.51371867 18.30181989 18.28546351 18.6117929  18.41201015
 17.63174772 18.40976454 18.36391307 18.51067719 18.24139291 18.25408777
 18.36711735 18.20623108 18.38607071 18.20846876]",0.25952006910773623,2023-09-14 14:54:38.253067
5,5,18.31689252947672,"[18.05942454 18.73505587 18.31963178 18.30873098 18.15318566 18.32915963
 17.96662699 17.49268587 19.39093086 18.45273792 18.73852265 18.62722042
 18.70426223 18.08776182 18.4361533  18.51140534 18.41442586 18.04166723
 17.9506626  18.63733151 17.91749442 18.24018678 18.06321674 18.32727006
 17.09916877 18.96584015 18.49309052 18.47387332 17.04034728 19.57267948
 18.41849585 17.68757116 19.21201904 18.61833347 18.47319078 18.13031161
 17.80579222 18.76463055 18.01237901 18.56273392 18.38759205 17.97801289
 18.67932502 18.4193864  18.12558767 18.15240304 18.29382629 18.05962838
 18.23814919 17.95046121 18.55369323 18.32827778 18.41082372 18.51179085
 17.99896506 18.27999004 18.12546447 18.48911569 17.31159574 19.58403509
 18.6119661  18.28629945 18.45805983 18.36016212 18.39490645 17.32768162
 19.27381099 18.48445919 18.26821855 17.75804661 18.83833413 17.96045557
 18.49300502 18.4509079  18.44274105 18.48394669 18.18272732 18.33785667
 18.26917807 18.45682487 18.04158586 18.15405074 18.18107441 18.31401205
 18.07852407 18.52636649 18.21692717 18.323618   18.56243242 18.46023205
 17.55745127 18.48954301 18.3201352  18.52606618 18.12222079 18.304123
 18.41552797 18.27126433 18.27986473 18.29031299]",0.4216831504259681,2023-09-14 14:54:38.253056
6,6,18.315641975408035,"[17.48859416 19.23673447 18.43258512 18.45972089 18.04357976 18.44155066
 18.07991322 18.43233031 18.09950656 18.63160199 18.70155129 18.56544785
 18.68530214 18.24234961 18.28170276 18.4983074  18.50104531 18.15998493
 17.91223899 18.49249205 17.12728355 19.22739519 18.13882093 18.15598716
 17.10805447 19.37411908 18.24068585 17.957835   18.47630529 18.43126865
 18.50541052 18.55025147 18.16505679 18.61257233 18.46696491 18.0879663
 18.39406056 18.19803097 18.10016177 18.49317602 18.35868745 18.25996252
 18.46828649 18.36800294 18.19674779 17.88189012 18.47417195 17.99649518
 18.33104959 18.31732475 18.25667053 18.3764414  18.47075963 18.19132728
 17.95485252 18.51393289 18.17686086 18.3263884  18.30948523 18.37163053
 17.60544008 19.48804895 18.42596218 18.10909371 18.69809817 18.26292216
 18.27113914 18.54315688 18.1482851  18.21402389 18.43670564 17.92070536
 18.51547547 18.4995907  18.33794074 18.5508967  18.03182617 17.39073726
 18.28993665 19.64679966 18.17434192 18.00532507 18.23561324 18.2476757
 18.04866823 18.57156786 18.18591001 18.39143879 18.46057283 18.46824385
 17.64018434 18.44758925 18.34891845 18.47592126 18.1421117  18.35628634
 18.4093409  18.21912598 18.33319201 18.21647088]",0.38227725593362244,2023-09-14 14:54:38.253064
7,7,18.31341946288191,"[18.4001104  18.34681442 18.26079613 18.35733938 18.12879147 17.61842888
 18.91646489 18.51140534 18.13088687 18.76075812 18.58369049 17.52406821
 18.80247064 19.26508516 18.25550403 18.53130168 18.38607071 18.06272734
 18.08833438 18.49561307 18.13277726 18.08616702 18.15199116 18.02735651
 18.20486388 18.21215798 18.25792051 18.26079613 18.27264152 18.38053685
 18.65588978 18.38383142 18.1410832  17.67303559 19.47870126 18.19021048
 17.40931921 19.08000964 18.21012665 18.45869866 18.40989163 18.32861372
 18.31292206 17.44424384 19.26350793 17.9964547  18.2267222  18.15677009
 18.33630152 18.2733928  18.22140833 18.29445381 18.5634231  18.32685021
 18.02228004 18.25083954 18.1800415  18.30320169 18.49330427 18.35119134
 18.6509315  18.37990341 18.31967373 18.32966358 18.4112898  18.25692051
 18.31170645 18.44929097 18.01213568 18.32395376 18.57717423 17.97183364
 18.40679947 18.58718785 18.32622047 18.54526319 18.02922537 18.28295617
 18.31522797 18.57324941 18.10794599 18.05612294 18.20846876 18.4495888
 17.83564454 18.55709322 18.27310063 17.54255165 19.44310098 18.47647598
 17.59881736 18.46658126 18.35906663 18.49950514 18.1098726  18.22821728
 18.46308652 18.27422763 18.36656917 18.11471141]",0.3542123797542576,2023-09-14 14:54:38.253266
8,8,18.31267671984091,"[18.39858699 18.26613299 18.24700977 18.45520691 18.09148411 18.43504871
 18.0516005  18.42693834 18.26930323 18.31703118 18.86329768 18.59850933
 18.6966561  18.2185866  18.30462558 18.46449278 18.48984214 18.1353258
 17.92869757 18.53795763 17.97054179 18.27965589 18.10737219 18.13882093
 18.15318566 18.19004504 18.27080531 18.16893476 18.2876789  18.27581402
 18.74638253 18.43934033 18.1406307  17.45410117 19.73281765 18.15578114
 18.40396237 17.08569329 19.27176806 18.49557031 18.41705419 18.30491876
 18.26463168 18.44057295 18.23021111 17.01103378 19.47386486 18.09602656
 18.2971317  18.24659359 18.2834158  18.29219495 18.52456473 18.30785109
 18.18417386 18.25887895 18.12283659 18.31539569 18.42948533 18.45686745
 18.5027997  18.35578092 18.50506808 18.22614084 18.40823953 18.27355976
 18.35995144 18.46999203 18.16464434 18.16109802 18.48471545 17.91432474
 18.50095974 18.53795763 18.18996232 18.66781785 18.01866734 18.50939236
 18.09852384 18.60915198 17.9763162  18.20863453 18.2488412  18.35081248
 17.9386677  18.53087243 18.24763408 18.43254265 18.43300983 18.46138225
 17.51029824 18.5677747  18.37884778 18.4650042  18.25242187 18.24842493
 18.32126801 18.31791194 18.30006153 18.19525786]",0.34609383959400136,2023-09-14 14:54:38.253259
9,9,18.31369547575841,"[17.60908276 19.1698956  18.21626348 18.35957222 18.21900151 18.11335792
 17.50412988 19.44376256 18.07742108 18.77282071 18.19223737 18.61413138
 18.88676675 18.40552902 17.9964547  18.84712157 18.42664124 17.77074846
 18.33907576 17.62871718 19.01547384 18.19194779 17.69535674 18.5022434
 18.1759936  18.29081481 18.01513722 18.29144212 18.35047574 18.22086882
 18.8187915  18.38095916 18.00301551 18.74172728 18.52906979 17.96965375
 18.41357817 18.15425672 18.19351992 18.50297088 17.51562722 19.32152466
 18.32424756 18.18925924 18.42498612 18.02516313 18.22539344 18.13470915
 18.30986238 18.28738628 18.2426408  18.4167998  18.37365585 18.36425031
 18.13109233 17.86057145 18.39291873 18.51971887 18.02800651 18.40832424
 18.96687435 18.16398445 18.61443456 18.24634389 18.43016465 18.33071357
 18.18169422 18.21676124 18.36897297 18.38095916 18.3819728  17.96961338
 18.53349118 18.49005582 18.32521297 18.56962798 18.03877886 18.26867744
 18.40650302 18.53825833 17.98654157 18.161634   18.21991437 18.36458757
 17.91247962 18.58960655 17.88832764 18.78816346 18.38391591 18.49522823
 17.62988265 18.44057295 18.35312795 18.51329023 18.06068843 18.04065009
 18.39308788 18.42753258 18.47916474 18.2718903 ]",0.34152177801545486,2023-09-14 14:54:38.253293
