,i_Host,Host,Throughput,Throughputs,Uncert,Start
0,0,x1922c0s3b0n0,24.351620678305732,"[25.00586075 23.91457713 25.10930394 24.55109851 24.53491011 24.5340072
 24.04322973 22.49775725 24.36765924 24.59684238 23.65799995 25.01774696
 23.94750706 24.02027311 25.13794447 24.34230144 24.43001716 23.94858239
 24.82197986 24.09536947 24.23897203 24.63539614 24.19915908 24.07905153
 25.07058938 21.08748142 24.61008398 23.6762743  25.05669076 24.37538087
 24.41547819 23.85709599 25.13818144 24.45204496 24.21512719 24.62417355
 24.48722226 24.66250898 24.31115852 23.65037648 25.19312102 23.82817503
 24.66053236 24.35237892 24.35838492 23.94177361 24.36840149 24.76113245
 24.5044736  24.36944072 24.40720989 23.70258003 24.61568758 24.50304757
 23.84387034 24.99937502 24.34400514 23.90914525 24.91978943 24.35297198
 24.4560067  24.28459112 24.25506628 24.4305394  24.67566917 24.0375948
 24.37478672 24.37723775 23.92051214 24.9072206  24.23603474 24.30369902
 24.47575982 24.23170355 24.35171177 24.6033479  24.46004452 23.99988
 24.87979947 24.35905243 24.30414203 24.38875678 24.31655289 24.56768551
 23.77428692 25.0569262  24.4707437  23.98369109 24.53573784 23.97628745
 24.46019409 24.3950039  24.55833372 24.58648604 24.72119131 23.97564075
 24.27663222 24.58603267 24.73372598 24.52084732]",0.5230751946417375,2023-09-14 14:47:44.406744
1,1,x1922c0s4b0n0,24.15046224640448,"[24.05646051 23.68370413 24.88103754 24.2601415  24.25822885 23.80831922
 24.5078517  23.08149499 24.13294841 24.33445272 24.45309133 23.74690548
 24.54093121 24.4411381  23.61010276 24.74910594 24.35237892 24.01594659
 24.34585725 23.97635931 24.00182414 23.91321893 24.48085291 23.99872807
 24.51393464 20.85815671 24.38154683 23.58574006 24.30982877 24.7958219
 23.74225409 24.56157587 23.82583316 24.5618021  24.02142711 24.3463018
 24.24631835 23.47431616 24.6750603  23.83456429 24.82174882 24.19506058
 24.48422451 24.03030221 24.41018881 24.14372761 24.08521349 24.3449682
 23.08988894 24.64146666 24.03217909 24.55705217 23.85119241 23.88202281
 24.74497213 23.94019739 24.27346486 23.93948099 24.48145224 24.20955793
 24.34756144 23.77739602 24.64032821 24.04070091 24.17079081 24.31189733
 24.29904839 23.82228575 24.05855853 24.12159697 24.10873037 24.41614884
 24.65012233 23.75473239 24.57606291 24.07282028 23.92551986 24.75484963
 23.68819232 24.97299795 23.61463281 24.18957369 23.66359829 24.14795452
 24.39016954 24.77086946 24.220919   24.04272392 23.86428382 24.28805635
 24.32365049 23.5589991  24.40899716 24.46348519 23.43628699 24.61636927
 24.38020937 24.07948638 23.75402705 24.79766654]",0.5049884981451396,2023-09-14 14:47:44.408524
2,2,x1922c0s7b0n0,24.04366312038736,"[23.9910993  23.64911804 24.22040569 24.47051914 24.09609523 24.33341647
 23.00569391 23.61512076 23.999952   24.52137344 24.3076867  23.69766519
 24.11985154 24.63031438 24.00780254 23.7288035  25.04923741 23.33783559
 24.5584845  23.4505077  23.73478748 23.95855171 24.66570265 23.72598856
 23.75882418 20.28577587 24.44554449 24.33919097 24.08100851 24.04033969
 24.10655096 24.43389715 23.39995496 24.25153694 23.63556325 24.16290631
 23.58170767 23.97894648 23.65506189 24.05660519 24.30259157 24.1848204
 24.25616941 24.22825438 24.20325897 23.93940935 23.85211688 23.93726044
 24.10604248 24.11679765 22.84011066 24.93952166 23.743452   24.69219634
 23.46006657 24.17495414 24.02416831 24.52625996 23.84152538 23.91343337
 24.65984822 24.00585743 24.16356316 24.14525787 23.68959523 23.64520372
 24.45727772 24.69798989 23.82214387 24.90675533 23.78920386 23.95726025
 24.41801195 23.55795847 24.22121233 24.53581309 23.88359138 24.2719183
 23.65212455 24.55237943 23.46715478 24.67209247 24.00960384 24.0656511
 24.31374456 24.10204807 24.26691176 23.87518056 24.40289174 24.04496408
 24.09268456 24.11817908 23.81909398 24.24646532 23.81235861 24.38689814
 24.24771465 23.87190337 24.10088631 25.04508115]",0.5499897682044974,2023-09-14 14:47:44.248512
3,3,x1922c1s1b0n0,23.950652206165568,"[24.46610374 23.38066945 24.34689455 23.55046865 24.34793195 24.06188717
 24.00945973 22.88061183 23.70763742 24.47418738 23.32245924 23.90407296
 24.08289332 24.26190729 23.64639186 24.18321201 23.7385202  23.93740369
 24.13309401 23.69577001 24.06000565 24.30923781 23.79429829 24.02597208
 23.87895756 20.27431143 24.78030709 23.28932621 24.49937067 23.63284019
 24.20926489 23.63402709 24.25131639 23.66779878 23.80045697 24.00895534
 24.24044093 23.68118027 24.28348541 24.08869457 23.89843167 23.70454653
 24.17312794 24.72921509 23.21815195 23.83016243 24.39954251 23.16698473
 24.73892701 23.8517613  24.09914388 24.24830262 23.4259929  23.94671855
 24.29380933 23.48527327 24.12748966 24.3402277  23.51882829 24.20941141
 23.94148701 24.04597591 23.2746231  23.89671838 24.42009896 24.40378503
 23.67921764 24.36498751 23.45841556 24.08927485 23.87995546 23.98541687
 24.43606152 24.1422704  23.5461711  24.56708195 23.78609168 23.74669401
 24.37604931 23.59596627 24.09275711 24.29255524 24.47628401 23.67480291
 24.15889304 23.7241592  23.88972503 24.15305793 24.20801951 24.22803426
 23.91686498 22.87681692 24.85815316 23.8499125  24.19037828 24.54514773
 23.85375264 23.84323076 23.54908217 25.09937785]",0.5511366765044647,2023-09-14 14:47:44.510237
4,4,x1922c1s2b0n0,24.16648534929894,"[24.12938174 24.25984722 24.48999584 24.01363975 23.21848888 24.80658615
 24.4212917  22.92158526 24.27486429 23.8719746  24.80497092 24.42062077
 23.60877892 24.6314519  23.98930077 24.65597214 24.15823645 24.18087293
 24.28554949 24.49817029 24.15612101 24.29056372 24.25999436 24.31751378
 23.73373127 20.63296787 24.49764516 23.99736029 24.50147162 24.43024097
 23.4946535  24.63425825 24.21512719 24.28879376 24.16108193 24.54989305
 23.84045964 24.87918048 23.79182156 23.52104104 24.38556009 24.4820516
 23.95654283 24.65551621 23.90385868 24.54823575 23.96493929 24.61280974
 23.21640007 24.97510294 24.26963565 23.57059097 24.53242727 24.34444962
 24.29240771 24.35074818 23.90378726 24.61288546 23.89636148 23.77838545
 24.72279565 24.24991967 24.01861443 24.03867823 24.14503925 24.20135528
 23.74070403 24.69715118 23.97679047 24.52836552 24.18803781 24.12545235
 24.34763554 24.13265722 23.89050979 23.8928644  24.15794464 24.3125623
 24.03008567 24.42263368 23.79635083 24.16860015 24.41123161 24.41272147
 23.95417566 23.88359138 24.67330996 23.78920386 24.29506355 24.30045077
 24.32128416 24.24080819 24.38897984 23.78538448 24.58769509 24.15677749
 24.34333845 24.50469878 24.17276274 24.55411266]",0.509002249920733,2023-09-14 14:47:44.396390
5,5,x1922c1s4b0n0,24.41164370418202,"[24.86696175 24.05899265 24.74237007 24.52904239 24.44614209 24.53656562
 24.32579538 23.10829703 24.7728638  24.5737227  24.39277242 24.30539732
 24.158966   24.76826195 24.2639677  24.03586151 24.77332408 24.24161619
 24.67422315 23.98728674 24.82598536 24.29019496 24.73969205 24.08550354
 24.54190991 20.57052347 24.50755139 24.15524576 24.87523515 24.63600305
 24.55871067 24.57795051 23.81221686 24.42516892 24.72524076 24.34059799
 24.25197805 24.78898378 24.67194029 24.5935153  24.27132919 24.7507139
 24.33297239 23.67151045 24.85490947 24.18489351 24.63691349 24.73961555
 24.58308622 24.43016637 24.63638239 24.64397162 24.54371696 24.24411398
 24.70226057 24.26359975 24.72294846 24.49292002 24.44106343 24.58066915
 24.5225761  24.58263298 24.50762647 24.52362852 24.62925278 24.65703604
 24.06109111 24.85807592 24.22473285 24.28864627 24.32942035 24.06861963
 24.92864176 24.6075859  24.54981772 24.40676311 24.10589721 24.94737663
 24.12967286 24.2124888  24.60425592 24.03629481 24.83307517 24.01926345
 24.8414803  24.4608672  24.29875317 24.75691801 24.60909983 23.88202281
 24.63607892 24.69486409 24.56361208 24.11745199 24.30281305 24.47366328
 24.41257247 24.14882923 24.10764062 24.95889582]",0.4926718467770006,2023-09-14 14:47:44.517163
6,6,x1922c1s5b0n0,24.291194188218043,"[24.91358102 23.91557801 24.66243295 24.41354097 23.72612929 24.77125296
 24.25462505 22.85897157 24.40594407 23.98038405 24.46101678 23.73654805
 24.07825433 24.65240114 24.59911136 24.5167894  24.2685313  24.03593372
 24.09551462 24.7323496  24.6155361  24.42330472 24.46333558 24.48677255
 24.67239683 20.96694299 24.37337574 23.93632936 24.89745361 24.34704275
 24.42546721 23.77541741 24.73326717 24.3508223  23.79125552 24.23361202
 23.95216752 24.83353769 24.34971054 24.27044558 24.11454408 24.18803781
 24.44091409 24.4340464  23.99376162 24.67003824 24.49727009 24.30790827
 24.36305829 24.68914819 24.28061102 23.90735898 24.74627337 24.40110537
 24.43800232 23.57121601 25.02995773 24.32727483 23.94155866 24.77746737
 24.47800651 24.17239754 24.06521674 24.17692675 24.01508147 24.69318715
 24.46101678 24.50282242 24.3017795  23.98692712 24.26801597 24.8722963
 24.41078468 24.27648489 24.69974374 24.431957   23.91429118 24.39693818
 24.53867295 24.34126453 24.22055235 24.14955821 24.5462774  24.79551449
 24.08818685 24.18650212 24.65186938 24.42740633 24.14773585 24.51385952
 24.40840137 23.43601236 24.01320726 24.53024579 24.12719859 24.19462154
 23.96766762 24.54944104 24.57659141 24.48812173]",0.47771063455186324,2023-09-14 14:47:44.276456
7,7,x1922c1s7b0n0,24.18366815226168,"[24.28746645 23.7450729  24.42084441 24.45503483 24.40207296 24.30332986
 23.94148701 22.94018633 23.89971679 24.53867295 24.49576989 24.15809054
 24.74259964 23.56045613 24.24690625 24.38333034 23.87703328 24.26978291
 24.32424215 24.52641035 23.82867185 24.17042567 24.5636875  24.1984271
 24.44987775 20.24271009 23.83683685 24.32453799 24.26463006 24.54959171
 23.9921066  24.37337574 24.0474938  24.29690822 24.77992331 24.12086968
 24.02149924 24.78468307 24.42367753 24.30753898 23.92809607 24.16743197
 24.64943876 23.44336084 24.201941   24.4194281  24.31108464 24.30776056
 23.95173725 24.79666733 24.48902127 23.7659529  24.49321997 23.828246
 24.47283974 24.14613239 24.0157303  23.72078267 24.1750272  24.0091715
 24.74596718 23.76185865 23.89807471 24.3785006  24.32794064 24.42024805
 23.77329783 24.44502162 24.23720957 23.98412251 24.18606339 24.11301771
 24.0718062  24.11788824 24.02157137 24.5231023  24.55102316 23.96091974
 24.24771465 24.58882868 24.33230631 24.35378747 24.07354468 24.07354468
 24.47546029 24.37404408 23.76447033 24.38875678 24.45727772 24.40616744
 24.00996414 24.21007078 24.1062604  24.54605146 24.64716049 24.03095187
 24.10270161 24.63122439 24.06347946 24.57636491]",0.5036630244282725,2023-09-14 14:47:44.912213
8,8,x1922c2s0b0n0,23.952731818702322,"[24.60546672 22.52797693 24.25462505 24.30414203 24.04604818 23.91922478
 24.26838406 22.66301792 24.31470523 23.55414362 24.52919281 24.19008569
 23.69155959 24.12290621 23.85289917 23.93353657 23.85055244 24.32402027
 23.89800332 23.77986975 23.92308727 23.75889474 24.22465949 23.83293115
 24.02777611 20.666708   24.2877614  24.38191837 23.76305854 23.94593009
 23.20387505 23.96393428 24.25168398 24.00650576 24.32468591 23.81873939
 24.03412846 23.85225911 23.86392788 23.82810406 24.45914711 23.75099457
 24.04799981 23.62146601 23.82313703 24.32372445 23.53945065 24.23045587
 24.30916395 23.9350403  23.85304141 23.70440606 24.23118978 23.70033299
 24.37122246 23.8454339  23.63458567 24.11883349 23.75219337 24.04308521
 24.22084567 24.25131639 23.45855314 23.93905118 24.30864689 23.75670756
 23.46054816 24.24528959 24.26198087 23.57107711 24.09326503 24.36387447
 23.66023897 24.10596984 24.20355187 23.64170989 24.13141971 24.26588126
 23.83534543 24.62803964 23.97650303 23.23663022 23.94772212 24.17758436
 24.20062317 23.34185311 24.59412016 24.24161619 23.80477702 24.18204242
 23.99570477 24.16801605 23.98707097 24.27758996 24.42688423 23.56885494
 23.94822394 24.06818517 24.51446047 24.32557348]",0.4879064336278672,2023-09-14 14:47:44.882359
9,9,x1922c2s2b0n0,23.9452589239277,"[21.75491457 23.30791799 24.79520709 23.91407672 23.43985772 24.4500272
 23.50956692 23.0773003  24.08971008 24.05602649 23.59360024 24.45638052
 23.94571506 23.9977922  23.86456857 23.56066429 23.84323076 23.99829612
 24.21564028 24.75492623 23.84564713 23.93389458 23.73253434 24.6976849
 23.8812386  20.98657908 23.60759456 24.07803692 24.57628941 24.11091019
 24.05089169 23.83357018 23.60731591 23.6403825  23.94879747 24.04771066
 24.13571513 24.1263982  24.0974017  23.51896658 24.50845235 24.07818186
 23.70960476 24.0718062  23.92044061 24.11905164 23.94944273 23.99520096
 24.09776463 23.93174666 23.4141316  24.18094602 24.5553939  23.76023546
 24.16465798 23.41680448 24.60486131 24.0134235  23.5463097  24.29853176
 24.22304581 23.38935083 23.98340348 24.2260533  23.31953594 24.4275555
 24.19740241 23.48437702 24.28967871 24.30694814 24.08506846 23.47404065
 24.86951278 23.93489708 23.76955417 24.21945246 23.9571885  23.84436781
 23.78163701 24.56323498 23.64205922 24.13178367 24.09130605 23.85197465
 24.31928793 24.06521674 24.0518317  24.06007801 23.38565874 24.19323134
 24.57576093 23.94643183 23.82100894 24.28267462 24.12159697 23.97377269
 24.12617992 23.85595773 24.07035766 24.19345083]",0.5102152666567525,2023-09-14 14:47:44.618512
