,i_Host,Host,Throughput,Throughputs,Uncert,Start
0,0,x1922c0s3b0n0,19.007464739496996,"[19.29477594 18.73869822 19.08515318 19.30310949 19.22397614 19.21552615
 18.93101302 18.40675712 19.43242738 19.27311449 18.56488776 19.3808309
 18.3797345  19.12489272 19.04829934 19.23765964 18.64675814 18.90238572
 19.02659919 18.47182585 18.86489903 19.03393274 19.51248067 18.40269231
 18.97087733 18.93352204 19.32441834 18.40455513 19.29072815 18.70395612
 19.01890955 19.40687731 19.29054209 19.06541343 18.00382581 19.02062787
 18.83917701 19.31928499 19.31825865 18.87086197 19.47320122 18.81529495
 19.49284491 19.10543574 19.3469907  17.8863679  18.85880647 18.74708541
 18.86565531 19.12626443 18.64058848 19.12251557 19.15773038 19.24710151
 19.04521572 19.20786754 18.27823588 19.17839745 19.18755112 18.92353473
 18.64449836 19.07291336 19.15451951 19.34376285 19.39770137 18.88944245
 19.17876527 18.90542326 18.99204471 18.95550432 19.41822983 18.58084176
 19.26967916 18.65541124 19.19597652 19.30217801 19.29147245 19.09207631
 19.22499249 18.73062551 19.00549021 19.03538202 19.21649544 18.92125211
 19.3805492  18.33768853 18.81303838 18.8994831  19.44054958 19.20662244
 19.06650397 18.35194909 19.00661906 19.40640654 18.86409832 19.19100326
 18.9672341  19.14012967 18.76837248 19.44059683]",0.3317861655039522,2023-09-14 14:49:38.234517
1,1,x1922c0s4b0n0,18.959501951534236,"[19.17256023 19.45326596 18.47553723 19.17586909 19.26568829 19.09481051
 18.52220581 19.02754951 18.72610958 19.19238446 19.1888858  18.76361828
 19.0820121  18.97929359 19.02610143 18.60897883 19.28198701 18.99145859
 19.25469875 18.99222506 19.06895812 19.26248751 19.00607719 19.230723
 18.60919527 19.29142593 18.20146749 19.49897387 19.08032818 18.82654166
 19.19837198 18.95307928 18.96255843 19.15332717 18.81144582 18.32227508
 19.02990311 18.50369843 18.62258081 19.00761255 19.1363296  18.94414792
 18.40146476 18.86045152 18.94859011 18.93518014 19.09512955 18.92613131
 19.0387343  18.87999169 19.10721536 19.05646669 18.05270035 19.57502618
 18.6145645  18.85182933 18.98262615 19.18989844 19.12265269 18.70596791
 19.00007363 18.54117996 18.90743393 18.98177038 19.23363578 18.76696358
 19.01429875 19.05406113 19.05564964 18.87776412 18.62188724 19.32129134
 19.03601614 18.90694239 19.10548136 19.13825234 18.90444042 19.14164097
 19.01018708 18.58390634 19.21709553 19.05201916 19.18736704 18.88427011
 19.11415451 18.88377978 19.24654585 18.63659342 18.45980608 18.76841651
 19.15658352 18.94441708 18.91977542 18.93329799 19.02117056 19.30026876
 18.85893984 18.90662961 18.87798685 19.03683151]",0.2663955504902922,2023-09-14 14:49:38.178044
2,2,x1922c0s7b0n0,18.954979585428024,"[18.58895862 19.07991862 18.94603223 18.5811007  18.68460389 18.2855889
 19.20786754 19.05819181 19.29780126 18.67561851 19.12859677 18.96049108
 19.33058195 18.99267595 19.09080062 19.02976731 19.22369898 19.06768552
 18.57484502 18.60391566 19.11671231 19.13523107 17.63555681 19.35579089
 19.07232225 19.13221075 19.01732716 19.19625289 18.95375284 18.98163527
 19.00472267 18.61768354 19.18000676 18.92469862 18.86885907 19.10680465
 19.19993856 19.28319542 18.62288427 19.22730277 19.2323411  18.78926663
 19.32376485 18.9426228  18.55106877 18.28822238 19.47827442 18.83687035
 18.64854029 19.09189406 19.1100452  18.80176361 18.74998535 19.10767173
 19.19537775 18.91136715 17.81054919 18.5655771  18.88676675 18.75679934
 18.80304515 19.28342782 18.85640611 19.18226025 18.35085458 18.90082266
 19.20109062 19.45042815 19.1144742  18.95348341 19.05428805 18.92246049
 18.68704801 19.03705801 18.79107612 19.06791275 19.03479322 19.07368642
 18.65828288 18.74853527 18.95882853 19.0985941  19.1285053  18.66180838
 19.07254959 19.17513369 18.99998338 19.1888858  18.83097318 18.98226582
 18.80852685 19.37975107 19.10566387 19.03524614 19.07386832 19.34394994
 19.00707063 18.7668315  19.32371817 19.2639718 ]",0.3047141864275831,2023-09-14 14:49:38.213782
3,3,x1922c1s1b0n0,18.884242548369627,"[19.25219656 19.09535744 19.1431983  19.05124786 19.0638233  18.85911768
 19.065368   18.76784411 19.01027743 19.13500222 18.59518059 19.11589008
 18.93697302 18.71126184 18.98911449 18.80565298 18.97285696 19.18189229
 18.95258537 19.12173855 18.95855896 19.28398561 19.01032261 18.93235705
 17.75477548 19.53916871 18.01282513 19.49327238 19.06977631 18.11627022
 18.95622297 19.03058215 18.83762439 18.40718064 19.01922606 19.23631817
 18.98177038 19.01583544 19.18341019 18.6377657  18.8218908  19.14264862
 18.96957281 18.78608984 18.91083071 18.3294956  17.82634466 18.19923154
 19.32269136 18.89073598 17.76348804 19.58125486 18.98325677 19.04598653
 18.99402875 17.68006595 19.6098618  18.92989314 19.05233677 17.77517075
 19.34409026 18.70833012 19.00792868 19.07341357 17.8896077  18.79142923
 19.19869449 19.23137021 18.99650939 19.25242821 19.07991862 19.11977343
 19.0858817  19.06482278 18.17653046 18.05864998 19.26327601 19.13028923
 18.76520275 18.42188889 18.94441708 19.08237623 19.13578032 19.09257752
 19.08406052 18.88636546 18.84379203 18.97794289 18.7397517  19.08633705
 18.52743914 18.93585243 19.01999477 19.27070035 17.82157926 19.08865967
 19.09800139 19.11100388 19.0011567  19.09772785]",0.4186491445537552,2023-09-14 14:49:38.167308
4,4,x1922c1s2b0n0,19.017143794222278,"[18.5150898  19.11378917 19.06395958 19.0816935  18.99109792 19.09681608
 18.96228875 19.1531896  19.12352121 19.21672624 18.70504943 19.08752106
 19.09494724 18.93916975 19.28003528 19.21100406 19.14855931 18.95321399
 19.22051213 19.16888507 19.2674979  19.05387961 19.1340869  18.86058491
 19.17927104 19.04607722 19.15176819 19.07282242 19.121053   19.02207512
 18.98532909 19.03787347 19.04072812 19.06654941 19.02180374 19.21497231
 19.27929187 19.1837782  19.17917908 19.00404549 18.98375228 19.12708754
 18.69049705 19.01560944 18.82441527 18.5995471  19.115479   19.09699843
 18.98312163 18.98163527 19.16176844 18.95626789 19.05742001 19.05061272
 19.05900907 18.97614225 18.68848859 18.05082662 19.08119286 19.15424434
 19.15635416 18.75833867 19.34839445 19.12457269 19.13976334 19.03438562
 19.2855662  18.96903305 18.80061478 18.08064873 19.06754918 18.94796179
 18.86877006 19.1597492  19.02139669 18.92022288 19.05192841 18.88507253
 18.9106072  18.90631684 19.0536527  19.15057619 19.1237955  19.02890729
 19.08415157 19.17187103 19.10046366 19.16149306 19.10169504 18.74879891
 18.76762397 18.9929014  18.7210701  18.72773156 19.12196708 19.06518625
 19.28682156 19.04258636 18.92550448 19.1964832 ]",0.2068276933267441,2023-09-14 14:49:38.198046
5,5,x1922c1s4b0n0,19.045777907402538,"[19.3690531  19.02718747 19.22379136 18.95770536 19.08638258 19.19321328
 19.26304409 19.26373986 18.76788814 19.2830095  19.07468694 19.11442853
 19.0804647  19.1611718  18.95420191 17.89164818 19.6156317  18.97087733
 18.99799809 19.24538832 19.09927805 18.7467779  19.0355179  19.13353774
 18.96642469 18.88850587 19.07859906 19.18640068 19.12896268 19.22115865
 18.41391724 18.99750183 18.99705071 18.974882   19.28435749 19.09426361
 19.20772919 19.00652874 19.20943567 18.94455167 19.19616077 19.21114246
 18.65110543 18.09946561 19.51533662 19.17058465 19.26267303 19.22956738
 19.11141477 19.06300562 19.06782186 19.17228455 18.02491945 19.44347902
 18.80476889 19.20454764 18.64223912 19.17494985 18.86165214 19.16406355
 19.04263169 19.23174006 18.72255975 18.69744266 18.99263086 19.19947777
 19.23377451 19.10776301 19.06800365 19.19616077 19.02180374 19.28863514
 19.1458097  19.09736313 19.07459598 18.8227765  19.16782872 19.25673805
 19.24835186 18.93701785 19.23617941 19.03003892 19.24580502 19.16948218
 18.95492046 18.92854946 19.11844835 19.0902995  19.08902405 18.92268428
 19.28677506 19.16456855 18.12402725 19.34638247 18.8338548  19.25140896
 19.14975105 18.73189738 18.87874419 19.24376803]",0.27928223885300674,2023-09-14 14:49:38.228335
6,6,x1922c1s5b0n0,19.0705764029221,"[19.28942578 19.2938918  19.19454875 19.2648532  19.35925699 19.14443519
 19.29244942 19.044717   19.22587033 17.63940643 19.58859063 18.93746612
 18.25908732 19.5464252  19.07673378 18.71161196 19.17596102 19.40956115
 18.89354667 19.45752422 19.24321256 18.41188303 19.36849037 19.22859677
 18.91812001 19.29040254 18.54362968 19.51924109 18.49621174 18.197824
 19.2655955  18.86085171 19.26503877 18.94675016 19.43875456 19.15896915
 19.02691595 19.04167986 19.40410009 18.92738509 19.24376803 19.2402506
 19.25349391 19.40631239 18.62938926 18.83358876 18.3683825  19.46841493
 19.3769816  19.32026478 19.3727116  19.29021648 19.28161522 19.27729424
 19.18718296 19.40250001 18.60612234 17.98480284 18.49471514 19.59108508
 18.772204   18.73606505 18.94446194 19.37205484 19.37566755 17.91962154
 18.92792247 19.40410009 19.37308691 18.70050211 18.89479614 19.23830732
 19.35115575 18.83828977 18.89332357 19.28003528 19.23372827 19.31121716
 18.68412387 18.92004389 18.94823106 19.15273106 19.31951827 18.88583043
 19.48520099 19.28565918 19.05356194 19.20127496 18.96907803 19.1838702
 18.94872475 19.36066252 18.85142953 19.23858491 19.23553187 19.15378575
 19.10032685 19.27887373 18.97803293 19.26791555]",0.36741401460124756,2023-09-14 14:49:38.042172
7,7,x1922c1s7b0n0,18.94906965714569,"[18.66646756 19.13298862 19.15717987 19.07073096 19.10447761 18.3468565
 19.20104454 19.0663222  19.1136065  18.63628951 18.97096731 19.13239377
 19.03628792 18.84285997 19.14104558 19.18253622 18.99574258 19.22060449
 18.94325076 19.17141159 18.36033067 18.21344334 19.42884066 18.69019139
 19.14585552 18.93155061 19.164339   19.1838242  19.10114774 18.32659831
 19.2254545  19.1237955  18.99010615 18.87010527 18.08142518 19.13623805
 18.92237097 18.54075025 19.16649696 18.95321399 19.0558312  18.86374247
 18.85467289 19.01484108 18.80874795 18.75719514 18.61703365 18.68512757
 18.8859196  18.87999169 18.88948706 18.8146312  19.14040444 19.18801133
 18.67383119 18.872242   18.86356455 18.75935036 18.91199304 18.99087251
 19.18699889 18.94751302 19.02890729 18.93280511 19.0381     18.99935165
 19.02429164 18.99565237 18.94177063 19.12896268 19.06741284 19.05074881
 19.20505477 18.91964119 18.83514072 18.11516262 19.36413037 18.91324495
 18.99150368 18.97794289 19.15410676 19.09973404 19.00061514 19.10981695
 18.71152443 18.93518014 18.94446194 19.16691025 19.06827635 19.02736849
 18.99249559 18.9612101  18.84223865 19.18722898 19.06809455 19.11009084
 18.95348341 18.86805803 18.72755619 19.09754549]",0.2428850220809993,2023-09-14 14:49:38.581596
8,8,x1922c2s0b0n0,18.91066137635597,"[19.09836613 18.46248999 19.13687892 18.78750161 19.19100326 18.24688491
 19.37515137 18.53696967 19.26262665 18.92022288 19.03352518 18.65671642
 18.67836555 18.18772919 19.37139813 18.79756665 18.33159565 18.86943764
 19.28658907 18.20465675 18.02191465 18.73694269 18.87834324 18.7841931
 18.86699008 19.28538024 18.01623263 18.75499645 18.99263086 19.29110029
 19.02899781 19.20436323 19.30884007 18.8377131  19.31205628 18.87157422
 17.9448644  19.27817686 19.14090819 19.00174341 18.54917618 19.23497688
 18.98046436 19.13829813 19.23312714 18.76687553 18.93553869 19.18976034
 18.34807678 19.07759813 19.00129209 19.06137046 19.08415157 18.97663739
 18.70710519 19.23622566 19.2470552  18.70631783 19.33231033 18.78578104
 18.63433609 19.0627785  18.57506066 18.95191189 18.47673202 19.1698956
 18.61564738 19.27241804 19.34998561 18.449759   19.16346677 19.22171285
 19.12073309 18.99844925 19.08196659 18.92693729 18.93235705 18.55309083
 19.18037464 19.11237359 18.24713463 19.16016219 19.28644958 18.9017158
 19.29775471 18.95438154 19.12603579 19.16016219 18.56893834 18.30554704
 19.22591654 18.54831604 19.30334237 19.00476782 18.14688543 19.42969002
 19.16195203 18.67509536 19.35326236 18.77286476]",0.3551745772989309,2023-09-14 14:49:38.061956
9,9,x1922c2s2b0n0,18.97774790128422,"[18.69289903 19.21395702 18.76634725 18.9146759  19.14269443 18.78838408
 18.67509536 18.98231086 18.91199304 19.10748918 19.05161081 18.9990358
 19.14177837 18.8832449  18.92917649 18.92469862 19.11744323 18.93849723
 19.217511   19.07241318 19.07286789 18.91856739 19.15759275 18.79266522
 19.14425194 19.06900357 19.07104919 19.11639255 19.25316955 19.20860546
 19.27859498 18.87843233 18.94266765 19.05596738 18.51877572 19.07718869
 19.17462813 17.99847913 18.40951035 19.31965824 19.07273148 18.44614303
 17.75036333 19.45719296 19.28570568 19.1105017  19.26791555 18.98758212
 18.90922155 18.96889812 18.03475297 19.18658474 19.20574636 18.59060013
 18.71655877 19.28896069 18.87629421 19.02085399 19.19616077 18.35338058
 18.8338548  19.2323411  18.86801353 19.25349391 18.25129755 19.41163339
 19.16305363 19.30716247 18.5945755  18.91333437 19.34385639 19.10949742
 19.2346994  18.91355795 19.36694305 18.81781765 19.19381192 19.24798137
 18.83017536 18.69586962 19.32535196 19.08783985 18.96399685 19.26708027
 17.81241303 19.36347419 18.89180662 19.25391095 19.0766428  18.63533446
 18.80423848 18.98082462 19.16713986 18.974882   19.1015126  19.03936865
 19.31051796 18.92483293 19.08515318 19.4700259 ]",0.32714971548732646,2023-09-14 14:49:38.099904
