,i_Host,Host,i_GPU,GPU,Throughput,Throughputs,Uncert,Start,tile
0,0,x1922c0s3b0n0,0,0.0,26.08666583438604,"[26.5840788  25.6537703  26.26774715 26.17698258 25.98457166 26.55310788
 26.35271795 26.10097161 26.09645904 26.16867675 26.43937616 26.58319543
 26.40255313 26.15832325 25.98777925 25.96871419 26.1335424  26.26593604
 26.18555081 26.04522754 26.06024477 26.07578928 26.04412526 25.96450004
 25.85549365 26.14772155 26.02523146 26.04514274 26.07867938 26.16593784
 26.06550914 26.06482975 26.04115805 26.22151278 26.33502097 26.36678839
 26.24930275 25.89851666 25.53626149 25.751294   26.31726116 26.19283822
 26.1951539  26.32687447 26.0837811  26.11179111 26.0780843  26.1458415
 26.36644079 26.17158747 26.11937862 26.02277644 25.87355593 26.11801425
 26.26084901 26.58558065 26.21369403 26.13098154 25.99157873 26.1133253
 26.0599901  26.04175144 26.3227165  26.31388518 26.1297013  26.02082967
 26.05286126 25.97537534 26.05014653 26.17090254 26.20691011 26.106934
 26.2117186  26.04259918 26.03912378 26.11912279 26.29874719 26.33363398
 26.27766956 26.20957174 25.98372769 25.95548634 21.49572638 26.12424036
 26.08488674 26.20399152 26.27050741 26.30627076 26.16473974 25.92621399
 25.63141386 26.00695686 25.8945767  26.27137012 26.0303123  26.31397173
 26.24017633 25.98296816 26.01270721 26.260418  ]",0.49607415659403076,2023-09-14 14:42:53.896264,True
1,0,x1922c0s3b0n0,1,0.1,25.56012416519773,"[25.68432678 25.49930833 25.77120326 25.44189389 24.55260549 25.38924892
 25.62156311 25.31469328 25.03356062 25.43768721 25.6989306  25.72893283
 25.17520368 25.54710727 25.61057204 25.57258619 25.77236558 25.78407769
 25.59737883 25.71660939 25.69604152 25.41933967 25.496789   25.33762384
 25.61852732 25.79247376 25.5801907  25.82552918 25.61360595 25.55347224
 25.33345156 25.30428402 25.43898142 25.66397516 25.70892357 25.47292069
 25.17132231 24.79228712 25.39142468 25.59475819 25.79671543 25.7202473
 25.81602853 25.71462551 25.37435097 25.48014141 25.62205547 25.67023376
 25.36365135 25.36646617 25.16760049 25.24383971 25.40658475 25.64587534
 25.58321741 25.19304168 25.51272607 25.50491767 25.78108635 25.56980717
 25.91613539 25.87481119 25.85900378 25.58509924 25.60655528 25.27765929
 25.18955137 25.52982362 25.77701592 25.66241098 25.63305639 25.35095225
 25.19320036 25.37692666 25.65072688 25.6882855  25.77502271 25.30444409
 25.22600928 25.15659983 25.8436331  25.95498109 25.3339329  25.51834131
 25.6679276  25.58919113 25.36735095 25.24097241 25.42160137 25.31869913
 25.3665466  25.85850228 25.73596827 25.57929101 25.6191016  25.23730958
 25.28141374 26.20390569 27.74983524 27.2016321 ]",0.370519323897863,2023-09-14 14:42:53.896187,False
2,0,x1922c0s3b0n0,2,1.0,25.894174822912383,"[25.58976409 25.79696499 25.87774061 26.06202763 25.91000806 25.8639363
 25.79763049 25.88301524 25.77643454 26.12637327 25.8757318  26.01727547
 26.00695686 25.76522725 25.71784947 25.86652871 25.86460526 25.93789819
 26.09705495 26.04268396 26.01118481 26.03861527 25.86310015 25.88008463
 25.67072799 25.88318273 25.69183289 25.90061287 25.79422016 26.16362733
 25.96466858 25.80187386 25.96138244 25.99563273 25.90673575 25.87640137
 25.77037309 25.72744346 25.94588985 25.9898055  25.96753409 26.09994976
 26.09994976 25.87774061 25.90807814 25.96728123 25.56972545 26.03920854
 25.98879233 25.95296026 26.09407567 26.05430368 26.1111093  25.81944462
 25.77402623 25.25053263 25.52070207 25.6201682  25.66685703 25.86310015
 25.80686785 25.96517421 26.11179111 26.01752931 26.02489281 26.06635843
 25.98381209 25.87966602 25.80728411 25.94588985 25.86861975 25.8528199
 25.91966201 25.9805211  26.0174447  25.8176948  25.90270942 26.02049114
 26.00712595 25.86385268 25.79713136 25.70115976 25.70892357 25.81861135
 26.01118481 26.11716159 26.0849718  26.02303038 25.93789819 25.8829315
 25.83094935 25.81977795 25.73265699 25.78906479 25.9320968  25.97107472
 26.06406547 25.79397066 25.91000806 25.67196365]",0.14976082111023264,2023-09-14 14:42:53.896005,True
3,0,x1922c0s3b0n0,3,1.1,25.529767127123574,"[25.24439732 25.39835736 25.58943668 25.73174654 25.19399375 25.2739858
 25.34203832 25.35376424 25.27230913 25.49158937 25.38836261 25.26664203
 25.53267544 25.4190166  25.29516293 25.26273242 25.26033937 25.49548889
 25.74284188 25.63420628 25.4262876  25.30420398 25.22624791 25.50150299
 25.39295599 25.24527361 25.50150299 25.67468252 25.66619826 25.76489533
 25.39561608 25.72347267 25.59508574 25.43995217 25.41126545 25.39037705
 25.25109053 25.41570564 25.65681445 25.60196623 25.59123756 25.75958579
 25.70974978 25.45646626 25.45322651 25.39069939 25.38046909 25.50751994
 25.59803407 25.64751972 25.60540786 25.62509209 25.21932935 25.38731523
 24.85174382 24.99945314 25.35641612 25.48704143 25.53479435 25.41845125
 25.85674716 25.85173384 25.89692377 25.78615541 25.80054246 25.59852552
 25.74648721 25.36670746 25.42806559 25.38820147 25.60098308 25.58264473
 25.77170138 25.64365576 25.73100168 25.6160664  25.62148105 25.49037101
 25.50475504 25.31685628 25.37048841 25.24145025 25.39376202 25.33120551
 25.24575161 25.4906959  25.22179415 25.38352926 25.48899035 25.49492014
 25.50776393 25.59574087 25.61696868 25.75021646 25.75104533 25.47754473
 25.60786674 25.5257507  27.16191899 27.96596542]",0.3509386988491546,2023-09-14 14:42:53.895783,False
4,0,x1922c0s3b0n0,4,2.0,25.65521023891297,"[25.4321074  25.63782091 25.67575374 25.81752817 25.87891257 25.78490874
 25.60360499 25.65763732 25.72330725 25.85641288 25.78100327 25.76016641
 25.79355484 25.62328644 25.54955496 25.59467631 25.48907156 25.69975617
 25.77876023 25.86619418 25.84046099 25.43906232 25.86234765 25.89382238
 25.7158654  25.78823347 25.19137573 25.60991616 25.42281316 25.47365069
 25.56220883 25.5983617  25.51093622 25.76531023 25.84530294 25.89650462
 25.75087955 25.6808639  25.79738092 25.81253005 25.61713274 25.6123759
 25.48647305 25.56563978 25.4306522  25.40400304 25.68300748 25.56180045
 25.73050512 25.69802254 25.74632149 25.833702   25.77195045 25.73522316
 25.69406082 25.62829364 25.57209573 25.5709514  25.62082461 25.76630605
 25.82469551 25.9698944  25.9808586  25.75776114 25.47389403 25.45095918
 25.39295599 25.23659306 25.39384263 25.47608433 25.58329922 25.70884095
 25.6294431  25.72173583 25.80179064 25.66908063 25.8613444  25.92008191
 25.70272867 25.59844361 25.55086058 25.54988135 25.5480047  25.6949686
 25.73158101 25.70528886 25.6652925  25.65854253 25.6016385  25.72529246
 25.30524451 25.77701592 25.82352846 25.82744683 25.61360595 25.60852252
 25.39134409 25.54368129 25.39884118 25.45492728]",0.15993782593437977,2023-09-14 14:42:53.895777,True
5,0,x1922c0s3b0n0,5,2.1,25.345796374140914,"[25.18534842 24.9867258  25.40973193 25.40392237 25.34139612 25.24909813
 25.13920837 25.09300093 25.19335903 24.68975776 25.3500686  25.31773761
 25.47040657 25.21050774 25.31357187 25.19256567 25.04508115 25.22744115
 25.34468775 25.50833325 25.38771806 25.47746359 25.43024801 25.22545248
 25.4233787  25.21479857 25.20200986 25.18915481 25.29964264 25.23619501
 25.42725738 25.13999837 25.5831356  25.57626523 25.68119366 25.56547638
 25.41279916 25.49719531 25.4837939  25.22624791 25.34380455 25.22290744
 25.19089979 25.15754915 25.11655652 25.24352109 25.27430519 25.4352609
 25.45946376 25.45719532 25.61163793 25.51337698 25.0247119  25.35577319
 25.17361931 25.19137573 25.32503094 25.15841942 25.39287539 25.38997413
 25.53177909 25.37459242 25.29404325 25.17171832 25.28085449 25.03700783
 24.80981724 25.03144575 25.17544136 25.37040796 25.32503094 25.42265158
 25.45533226 25.59385747 25.53560941 25.49703278 25.48054719 25.42709575
 25.25451819 25.2914044  25.09670072 25.20963386 25.38610682 25.44925895
 25.48874672 25.45978786 25.42717657 25.54678095 25.41497895 25.49102079
 25.48046604 25.46229988 25.34613313 25.29124449 25.33385268 25.16514627
 24.97728628 24.93711172 26.07315475 27.79292878]",0.31211524490817844,2023-09-14 14:42:53.896000,False
6,0,x1922c0s3b0n0,6,3.0,25.74609031611336,"[25.43574613 25.40085728 25.55126862 25.85365538 25.83779035 26.07935949
 25.75170846 25.8171949  25.67550653 25.84313219 25.77377711 25.9619722
 25.84663897 26.00501247 25.8415461  25.86569239 25.82953155 25.97773708
 25.76058116 25.79097703 25.82536244 25.73174654 25.83862487 26.04175144
 26.16533878 26.01143853 25.83745656 25.65171386 25.68325484 25.76680398
 25.85198446 25.7860723  25.78316359 25.79081073 25.86527425 25.99791367
 25.97782143 25.96483712 25.80645161 25.70404999 25.8558279  25.63141386
 25.70768435 25.72984308 25.66471615 25.81019825 25.95674957 25.86711417
 25.9895522  25.82286162 25.7986288  25.74358743 25.80761712 25.85490872
 25.9061485  26.00061751 26.02243785 25.97267674 25.9315084  25.76829791
 25.63001788 25.25388042 25.47827499 25.40674613 25.38610682 25.85482516
 25.7634018  25.89507961 25.87698727 25.83028213 25.91840239 25.88980007
 25.62098871 25.63634208 25.76688697 25.56800931 25.85465804 25.68317239
 25.74814452 25.74723298 25.90690354 22.93768691 25.89692377 25.63272787
 25.3411553  25.7047933  25.73480922 25.71462551 25.71908967 25.76273806
 25.26025961 25.5692351  25.67138699 25.66339886 25.81436247 25.82002795
 25.87347225 25.62501001 25.83670556 25.49053345]",0.3299454576200696,2023-09-14 14:42:53.896001,True
7,0,x1922c0s3b0n0,7,3.1,25.451063694254916,"[25.7741923  25.1957394  25.25435874 25.41166904 24.68564376 25.39779293
 25.40593927 25.35906856 25.16213853 25.47154192 25.57675584 25.52615793
 25.7109892  25.53601696 25.64414897 25.53528338 25.46919024 25.3924724
 25.4115076  25.29372336 25.2265661  25.14916599 25.48825947 25.4425412
 25.46675792 25.26704104 24.84695827 25.26360998 25.47056876 25.4828198
 25.70520627 25.73646503 25.59320245 25.49873941 25.7482274  25.65270091
 25.67105749 25.58002711 25.45290259 25.35424636 25.274944   25.36815535
 25.26033937 25.26839776 25.34492864 25.45023048 25.51825991 25.09496877
 25.60647332 25.3243896  25.50621873 25.29756258 25.43995217 25.51329562
 25.5480047  25.46692006 25.58076327 25.37636319 25.4990645  25.21162004
 24.83284392 24.9996875  25.39755104 25.18637921 25.57446645 25.40351902
 25.57127834 25.35794322 25.59574087 25.49223921 25.5562477  25.30044276
 25.39618041 25.33248892 25.30092285 25.47624658 25.53243097 25.53088279
 25.48493044 25.50296631 26.10897888 25.60262171 25.45638526 25.45905865
 25.52151623 25.46059813 25.51899251 25.25356154 25.31261074 25.12136761
 25.39900245 25.41118473 25.49483889 25.58239931 25.25308324 25.2233846
 25.64217625 25.39795419 25.99343666 27.80558336]",0.31406941258509474,2023-09-14 14:42:53.895679,False
8,0,x1922c0s3b0n0,8,4.0,25.872702784284346,"[25.49142691 25.59631413 25.88092188 26.00399811 26.02006798 25.98803251
 25.65870712 25.940169   25.91815048 25.98398088 26.00501247 25.91521191
 26.12748252 25.80778363 25.80262284 25.67806131 25.79729773 25.83270097
 26.03598824 26.21713027 26.17167309 25.99428126 25.9516974  25.6835022
 25.73149825 25.91831842 25.91521191 26.03158282 25.96584842 25.89575018
 25.93848688 25.89608548 25.90111601 25.83161661 25.78806722 25.83270097
 25.88276402 25.80104172 25.91462427 25.75776114 25.89239767 25.7646464
 25.97512233 25.98111173 25.84563693 25.87380697 25.8806707  25.99402787
 26.15635616 26.0670379  26.11315483 26.09211822 25.83854141 25.73224314
 25.3893295  25.53846252 25.83353516 25.87790803 26.105145   25.9835589
 25.95329704 25.90992415 25.79804644 25.71884162 25.78673724 25.82694654
 25.90044516 26.10582649 25.87255181 25.89223007 25.79130962 25.53430534
 25.80170743 25.77410926 25.97233946 26.02497747 26.25800459 25.98229307
 26.06253706 25.81886132 25.80495326 25.76655501 25.90665186 25.76489533
 25.82411197 26.0048434  26.11324007 25.93260117 25.93226492 25.91462427
 25.67723713 25.60352304 25.58788158 25.77817877 25.6023759  25.62689799
 25.69290555 25.92478572 25.8080334  25.77892637]",0.15936214025464956,2023-09-14 14:42:53.895703,True
9,0,x1922c0s3b0n0,9,4.1,25.472845323002183,"[25.45849152 25.26249309 25.59967232 25.75560506 24.83207311 25.43736367
 25.25475736 25.5202136  25.63847823 25.63888907 25.40053468 25.47413738
 25.41804745 25.38385143 25.28964547 25.25946204 25.26616324 25.48582351
 25.51671345 25.61483611 25.33593871 25.11584684 25.33056386 25.50491767
 25.45751936 25.68160587 25.15106358 25.64735528 25.79380433 25.61532821
 25.68952285 25.49223921 25.52843868 25.39876054 25.47989795 25.38127433
 25.48890914 25.35063091 25.52982362 25.49938961 25.44602104 25.59729693
 25.66035315 25.49199551 25.56327069 25.1597645  25.39634166 25.47778815
 25.49280784 25.62410716 25.67460012 25.35448743 25.30340362 24.68640551
 25.19954893 25.29092467 25.31453307 25.56114706 25.69843529 25.45031145
 25.56776416 25.26975463 25.37684617 25.29388331 25.5602487  25.3204621
 25.5555946  25.45533226 25.23261315 25.32623355 25.32398878 25.25738858
 25.06980373 25.30340362 25.46197572 25.59385747 25.43954768 25.32214517
 25.23444375 25.36960341 25.4791676  25.60253977 25.66833939 25.52566925
 25.80129135 25.76788291 25.60680117 25.57593816 25.45492728 25.47502969
 25.30772613 25.27997573 25.40263171 25.08513267 25.29628271 25.41255698
 25.55494153 25.43817252 27.58373387 27.20727523]",0.332163700251071,2023-09-14 14:42:53.895722,False
